 Procedimentos hospitalares do SUS - por local de residência - Brasil
Óbitos por Município e Subgrupo proced.
Período:Jul-Set/2020
"Município";"0201 Coleta de material";"0209 Diagnóstico por endoscopia";"0301 Consultas / Atendimentos / Acompanhamentos";"0303 Tratamentos clínicos (outras especialidades)";"0304 Tratamento em oncologia";"0305 Tratamento em nefrologia";"0308 Tratamento de lesões, envenenamentos e outros, decorrentes de causas externas";"0310 Parto e nascimento";"0401 Pequenas cirurgias e cirurgias de pele, tecido subcutâneo e mucosa";"0402 Cirurgia de glândulas endócrinas";"0403 Cirurgia do sistema nervoso central e periférico";"0404 Cirurgia das vias aéreas superiores, da face, da cabeça e do pescoço";"0406 Cirurgia do aparelho circulatório";"0407 Cirurgia do aparelho digestivo, orgãos anexos e parede abdominal";"0408 Cirurgia do sistema osteomuscular";"0409 Cirurgia do aparelho geniturinário";"0410 Cirurgia de mama";"0411 Cirurgia obstétrica";"0412 Cirurgia torácica";"0413 Cirurgia reparadora";"0414 Bucomaxilofacial";"0415 Outras cirurgias";"0416 Cirurgia em oncologia";"0505 Transplante de orgãos, tecidos e células";"0506 Acompanhamento e intercorrências no pré e pós-transplante";"Total"
"130115 CAREIRO DA VARZEA";-;-;-;8;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9
"130120 COARI";-;-;-;21;2;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;1;-;-;26
"130130 CODAJAS";-;-;-;7;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;8
"130140 EIRUNEPE";-;-;-;2;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"130150 ENVIRA";-;-;-;4;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"130160 FONTE BOA";-;-;-;7;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7
"130165 GUAJARA";-;-;-;12;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;12
"130170 HUMAITA";-;-;-;48;1;-;1;-;-;-;1;1;-;-;1;-;-;-;-;-;-;-;-;-;-;53
"130180 IPIXUNA";-;-;-;7;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7
"130185 IRANDUBA";-;-;-;21;2;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;25
"130190 ITACOATIARA";-;-;-;38;1;-;-;-;-;-;1;-;-;1;2;-;-;-;-;-;-;-;-;-;-;43
"130195 ITAMARATI";-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"130200 ITAPIRANGA";-;-;-;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6
"130220 JURUA";-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"130230 JUTAI";-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"130240 LABREA";-;-;-;3;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"130250 MANACAPURU";-;-;1;43;1;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;3;-;-;-;50
"130255 MANAQUIRI";-;-;-;6;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7
"130260 MANAUS";-;-;2;1266;130;43;11;12;-;-;16;11;9;22;13;2;-;2;12;5;-;55;6;-;2;1619
"130270 MANICORE";-;-;-;25;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;25
"130290 MAUES";-;-;-;10;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;12
"130300 NHAMUNDA";-;-;-;10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10
"130310 NOVA OLINDA DO NORTE";-;-;-;3;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"130320 NOVO AIRAO";-;-;-;4;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"130330 NOVO ARIPUANA";-;-;-;2;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"130340 PARINTINS";-;-;6;62;3;1;1;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;75
"130353 PRESIDENTE FIGUEIREDO";-;-;-;9;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9
"130356 RIO PRETO DA EVA";-;-;-;12;3;-;-;-;-;-;-;1;1;-;-;-;-;-;1;-;-;-;-;-;-;18
"130360 SANTA ISABEL DO RIO NEGRO";-;-;-;8;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;10
"130370 SANTO ANTONIO DO ICA";-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"130380 SAO GABRIEL DA CACHOEIRA";-;-;5;12;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;18
"130390 SAO PAULO DE OLIVENCA";-;-;-;10;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;11
"130395 SAO SEBASTIAO DO UATUMA";-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"130400 SILVES";-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"130406 TABATINGA";-;-;-;35;3;-;-;-;-;-;1;-;1;-;1;-;-;-;-;-;-;-;-;-;-;41
"130410 TAPAUA";-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"130420 TEFE";-;-;2;31;4;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;38
"130423 TONANTINS";-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"130426 UARINI";-;-;-;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6
"130430 URUCARA";-;-;-;3;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"130440 URUCURITUBA";-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"140002 AMAJARI";-;-;-;6;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;8
"140005 ALTO ALEGRE";-;-;-;9;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;11
"140010 BOA VISTA";-;-;-;224;9;7;5;-;-;-;4;7;-;2;4;-;-;1;5;-;-;11;-;-;-;279
"140015 BONFIM";-;-;-;2;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"140017 CANTA";-;-;-;8;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;9
"140020 CARACARAI";-;-;1;11;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;12
"140023 CAROEBE";-;-;-;3;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"140028 IRACEMA";-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"140030 MUCAJAI";-;-;-;9;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;11
"140040 NORMANDIA";-;-;1;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"140045 PACARAIMA";-;-;-;6;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;8
"140047 RORAINOPOLIS";-;-;-;11;2;1;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;3;-;-;-;19
"140050 SAO JOAO DA BALIZA";-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"140060 SAO LUIZ";-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"140070 UIRAMUTA";-;-;-;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6
"150010 ABAETETUBA";-;-;1;32;10;2;1;-;-;-;-;-;-;2;-;-;-;-;-;-;-;2;-;-;-;50
"150013 ABEL FIGUEIREDO";-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"150020 ACARA";-;-;2;17;2;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;22
"150030 AFUA";-;-;-;13;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;14
"150034 AGUA AZUL DO NORTE";-;-;-;6;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8
"150040 ALENQUER";-;-;-;49;-;1;-;-;-;-;-;1;-;5;-;-;-;1;-;-;-;-;1;-;-;58
"150050 ALMEIRIM";-;-;-;10;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;11
"150060 ALTAMIRA";-;-;-;81;3;2;1;-;-;-;-;1;-;3;2;2;-;1;3;1;-;6;-;-;-;106
"150070 ANAJAS";-;-;-;10;-;2;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;13
"150080 ANANINDEUA";-;-;10;166;25;7;-;-;-;-;3;3;5;2;-;-;-;-;2;-;-;9;-;-;-;232
"150085 ANAPU";-;-;-;11;-;-;-;-;-;-;-;2;-;-;-;-;-;-;1;-;-;2;-;-;-;16
"150090 AUGUSTO CORREA";-;-;-;17;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;20
"150095 AURORA DO PARA";-;-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;6
"150100 AVEIRO";-;-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"150110 BAGRE";-;-;-;4;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;5
"150120 BAIAO";-;-;-;9;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10
"150125 BANNACH";-;-;-;5;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8
"150130 BARCARENA";-;-;-;29;4;-;2;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;2;-;-;39
"150140 BELEM";-;-;24;769;116;36;2;-;-;-;8;7;18;19;8;2;-;1;13;2;-;50;7;-;-;1082
"150145 BELTERRA";-;-;-;8;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;10
"150150 BENEVIDES";-;-;-;20;2;-;2;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;1;27
"150157 BOM JESUS DO TOCANTINS";-;-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;7
"150170 BRAGANCA";-;-;2;45;6;1;1;-;-;-;1;-;-;3;1;-;-;-;-;-;-;4;-;-;-;64
"150172 BRASIL NOVO";-;-;-;13;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;2;-;-;-;17
"150175 BREJO GRANDE DO ARAGUAIA";-;-;-;5;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7
"150178 BREU BRANCO";-;-;-;12;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;14
"150180 BREVES";-;-;-;42;3;1;-;1;-;-;-;1;-;-;-;-;-;-;3;-;-;2;-;-;-;53
"150190 BUJARU";-;-;-;16;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;17
"150195 CACHOEIRA DO PIRIA";-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"150200 CACHOEIRA DO ARARI";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1
