 Procedimentos hospitalares do SUS - por local de residência - Brasil
Óbitos por Município e Subgrupo proced.
Período:Abr-Jun/2020
"Município";"0201 Coleta de material";"0209 Diagnóstico por endoscopia";"0301 Consultas / Atendimentos / Acompanhamentos";"0303 Tratamentos clínicos (outras especialidades)";"0304 Tratamento em oncologia";"0305 Tratamento em nefrologia";"0308 Tratamento de lesões, envenenamentos e outros, decorrentes de causas externas";"0310 Parto e nascimento";"0401 Pequenas cirurgias e cirurgias de pele, tecido subcutâneo e mucosa";"0402 Cirurgia de glândulas endócrinas";"0403 Cirurgia do sistema nervoso central e periférico";"0404 Cirurgia das vias aéreas superiores, da face, da cabeça e do pescoço";"0405 Cirurgia do aparelho da visão";"0406 Cirurgia do aparelho circulatório";"0407 Cirurgia do aparelho digestivo, orgãos anexos e parede abdominal";"0408 Cirurgia do sistema osteomuscular";"0409 Cirurgia do aparelho geniturinário";"0410 Cirurgia de mama";"0411 Cirurgia obstétrica";"0412 Cirurgia torácica";"0413 Cirurgia reparadora";"0414 Bucomaxilofacial";"0415 Outras cirurgias";"0416 Cirurgia em oncologia";"0505 Transplante de orgãos, tecidos e células";"0506 Acompanhamento e intercorrências no pré e pós-transplante";"Total"
"140028 IRACEMA";-;-;-;6;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7
"140030 MUCAJAI";-;-;1;9;1;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;14
"140040 NORMANDIA";-;-;-;9;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9
"140045 PACARAIMA";-;-;-;17;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;19
"140047 RORAINOPOLIS";-;-;-;15;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;1;-;-;-;18
"140070 UIRAMUTA";-;-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"150010 ABAETETUBA";-;-;1;63;8;2;-;-;-;-;-;1;-;2;2;-;-;-;-;-;-;-;-;-;-;-;79
"150020 ACARA";-;-;-;19;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;20
"150030 AFUA";-;-;-;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"150034 AGUA AZUL DO NORTE";-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"150040 ALENQUER";-;-;4;25;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;30
"150050 ALMEIRIM";-;-;-;18;3;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;23
"150060 ALTAMIRA";-;-;-;108;6;1;1;-;-;-;1;-;-;-;-;1;1;-;-;2;-;-;-;-;-;-;121
"150070 ANAJAS";-;-;-;5;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;7
"150080 ANANINDEUA";-;-;5;266;15;5;1;1;1;-;-;3;-;2;7;1;-;-;3;3;-;-;11;1;-;-;325
"150085 ANAPU";-;-;-;7;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;10
"150090 AUGUSTO CORREA";-;-;-;20;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;24
"150095 AURORA DO PARA";-;-;-;6;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7
"150100 AVEIRO";-;-;-;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"150110 BAGRE";-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"150120 BAIAO";-;-;-;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6
"150125 BANNACH";-;-;-;4;2;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;8
"150130 BARCARENA";-;-;1;63;4;1;-;-;-;-;1;1;-;1;-;-;-;-;-;-;-;-;1;-;-;-;73
"150140 BELEM";1;-;29;928;79;24;5;-;-;-;8;8;-;13;23;14;-;-;-;12;2;-;29;1;-;1;1177
"150145 BELTERRA";-;-;1;10;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;13
"150150 BENEVIDES";-;-;-;15;-;-;-;-;-;-;-;-;-;1;1;2;-;-;-;-;-;-;2;-;-;-;21
"150157 BOM JESUS DO TOCANTINS";-;-;-;6;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;8
"150160 BONITO";-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;3
"150170 BRAGANCA";-;-;-;112;2;1;-;-;-;-;-;-;-;1;-;3;-;-;-;1;-;-;-;1;-;-;121
"150172 BRASIL NOVO";-;-;-;12;1;1;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;1;-;-;-;17
"150175 BREJO GRANDE DO ARAGUAIA";-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"150178 BREU BRANCO";-;-;-;4;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6
"150180 BREVES";-;-;-;62;5;-;-;-;-;-;-;2;-;-;4;-;-;-;-;2;-;-;1;-;-;-;76
"150190 BUJARU";-;-;-;11;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;12
"150195 CACHOEIRA DO PIRIA";-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
