 Procedimentos hospitalares do SUS - por local de residência - Brasil
Óbitos por Município e Subgrupo proced.
Período:Abr-Jun/2019
"Município";"0201 Coleta de material";"0209 Diagnóstico por endoscopia";"0211 Métodos diagnósticos em especialidades";"0301 Consultas / Atendimentos / Acompanhamentos";"0303 Tratamentos clínicos (outras especialidades)";"0304 Tratamento em oncologia";"0305 Tratamento em nefrologia";"0308 Tratamento de lesões, envenenamentos e outros, decorrentes de causas externas";"0310 Parto e nascimento";"0401 Pequenas cirurgias e cirurgias de pele, tecido subcutâneo e mucosa";"0402 Cirurgia de glândulas endócrinas";"0403 Cirurgia do sistema nervoso central e periférico";"0404 Cirurgia das vias aéreas superiores, da face, da cabeça e do pescoço";"0405 Cirurgia do aparelho da visão";"0406 Cirurgia do aparelho circulatório";"0407 Cirurgia do aparelho digestivo, orgãos anexos e parede abdominal";"0408 Cirurgia do sistema osteomuscular";"0409 Cirurgia do aparelho geniturinário";"0410 Cirurgia de mama";"0411 Cirurgia obstétrica";"0412 Cirurgia torácica";"0413 Cirurgia reparadora";"0414 Bucomaxilofacial";"0415 Outras cirurgias";"0416 Cirurgia em oncologia";"0501 Coleta e exames para fins de doação de orgãos, tecidos e células e de transplante";"0505 Transplante de orgãos, tecidos e células";"0506 Acompanhamento e intercorrências no pré e pós-transplante";"Total"
"420770 IPUMIRIM";-;-;-;-;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;4
"420775 IRACEMINHA";-;-;-;-;2;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"420780 IRANI";-;-;-;-;8;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8
"420785 IRATI";-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"420790 IRINEOPOLIS";-;-;-;-;4;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;7
"420800 ITA";-;-;-;-;2;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;5
"420810 ITAIOPOLIS";-;-;-;-;7;1;2;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;2;-;-;-;-;13
"420820 ITAJAI";-;1;-;-;107;27;7;4;-;-;-;-;-;-;7;5;1;-;-;-;1;-;-;14;1;-;-;-;175
"420830 ITAPEMA";-;-;-;-;22;3;-;-;-;-;-;-;-;-;1;2;1;-;-;-;1;-;-;1;1;-;-;-;32
"420840 ITAPIRANGA";-;-;-;-;3;2;1;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;9
"420845 ITAPOA";-;-;-;-;5;2;1;-;-;-;-;-;-;-;2;-;1;-;-;-;-;-;-;4;-;-;-;-;15
"420850 ITUPORANGA";-;-;-;-;16;4;-;-;-;-;-;-;-;-;1;2;-;-;-;-;2;-;-;3;-;-;-;-;28
"420860 JABORA";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"420870 JACINTO MACHADO";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;4
"420880 JAGUARUNA";-;-;-;-;12;-;1;-;-;-;-;-;-;-;1;-;2;-;-;-;-;-;-;-;-;-;-;-;16
"420890 JARAGUA DO SUL";-;2;-;1;63;23;6;-;-;-;-;-;-;-;2;-;2;-;-;-;8;-;-;10;-;-;-;-;117
"420895 JARDINOPOLIS";-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"420900 JOACABA";-;-;-;-;15;1;-;1;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;20
"420910 JOINVILLE";-;2;-;1;239;58;7;3;-;-;-;3;4;-;14;14;7;-;-;-;23;2;-;37;3;-;-;2;419
"420915 JOSE BOITEUX";-;-;-;-;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"420917 JUPIA";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"420920 LACERDOPOLIS";-;-;-;-;3;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"420930 LAGES";1;-;-;-;79;41;11;4;-;-;-;1;-;-;3;7;3;3;-;-;3;-;-;13;3;-;-;-;172
"420940 LAGUNA";-;-;-;-;35;4;2;1;-;-;-;2;-;-;-;1;1;-;-;-;1;-;-;-;1;-;1;-;49
"420945 LAJEADO GRANDE";-;-;-;-;3;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"420950 LAURENTINO";-;-;-;-;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"420960 LAURO MULLER";-;-;-;-;6;-;-;-;-;-;-;1;1;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;10
"420970 LEBON REGIS";-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;2
"420980 LEOBERTO LEAL";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;3
"420985 LINDOIA DO SUL";-;-;-;-;5;2;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;8
"420990 LONTRAS";-;-;-;-;7;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;10
"421000 LUIZ ALVES";-;-;-;-;3;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"421003 LUZERNA";-;-;-;-;7;2;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;11
"421005 MACIEIRA";-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"421010 MAFRA";-;1;-;-;24;6;5;-;-;-;-;-;1;-;2;2;-;-;-;-;2;-;-;2;-;-;-;-;45
"421020 MAJOR GERCINO";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"421030 MAJOR VIEIRA";-;-;-;-;5;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;8
"421040 MARACAJA";-;-;-;-;5;1;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;8
"421050 MARAVILHA";-;-;-;1;13;3;-;1;-;-;-;-;-;-;2;3;-;-;-;-;-;-;-;-;-;-;-;-;23
"421060 MASSARANDUBA";-;-;-;-;12;-;-;-;-;-;-;-;-;-;1;1;1;-;-;-;2;-;-;1;-;-;-;-;18
"421080 MELEIRO";-;-;-;-;2;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"421085 MIRIM DOCE";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;2
"421100 MONDAI";-;-;-;-;5;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;7
"421105 MONTE CARLO";-;-;-;-;3;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"421110 MONTE CASTELO";-;-;-;-;4;2;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;7
"421120 MORRO DA FUMACA";-;-;-;-;10;2;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;1;-;-;-;-;15
"421130 NAVEGANTES";1;-;-;-;36;4;1;-;-;-;-;-;-;-;2;1;-;-;-;-;1;-;-;1;-;-;-;-;47
"421140 NOVA ERECHIM";-;-;-;-;3;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;5
"421145 NOVA ITABERABA";-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;3
"421150 NOVA TRENTO";-;-;-;-;6;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;8
"421160 NOVA VENEZA";-;-;-;-;8;-;-;-;-;-;-;-;-;-;1;2;-;-;-;-;-;-;-;3;-;-;-;-;14
"421165 NOVO HORIZONTE";-;-;-;-;5;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;7
"421170 ORLEANS";-;-;-;-;19;2;1;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;24
"421175 OTACILIO COSTA";-;-;-;-;8;1;1;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;1;-;-;-;-;13
"421180 OURO";-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;5
"421185 OURO VERDE";-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"421187 PAIAL";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"421189 PAINEL";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;1;-;-;-;4
"421190 PALHOCA";-;-;-;14;57;9;2;-;-;-;-;3;1;-;2;2;1;-;-;-;1;-;-;8;1;-;-;-;101
"421200 PALMA SOLA";-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;5
"421205 PALMEIRA";-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"421210 PALMITOS";-;1;-;-;8;3;1;1;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;16
"421220 PAPANDUVA";-;-;-;2;9;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;3;-;-;6;-;-;-;-;21
"421223 PARAISO";-;-;-;-;3;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6
"421225 PASSO DE TORRES";-;-;-;-;1;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"421227 PASSOS MAIA";-;-;-;-;3;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"421230 PAULO LOPES";-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"421240 PEDRAS GRANDES";-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;3
"421250 PENHA";-;-;-;-;13;1;1;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;5;-;-;-;-;22
"421260 PERITIBA";-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;3
"421265 PESCARIA BRAVA";-;-;-;-;8;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9
"421270 PETROLANDIA";-;-;-;-;5;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;7
"421280 BALNEARIO PICARRAS";-;-;-;-;13;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6;-;-;-;-;22
"421290 PINHALZINHO";-;-;-;-;6;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;9
"421300 PINHEIRO PRETO";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"421310 PIRATUBA";-;-;-;-;2;3;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;7
"421315 PLANALTO ALEGRE";-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;3
"421320 POMERODE";-;-;-;-;15;4;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;21
"421330 PONTE ALTA";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"421335 PONTE ALTA DO NORTE";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"421340 PONTE SERRADA";-;-;-;-;6;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;9
"421350 PORTO BELO";-;-;-;1;8;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;13
"421360 PORTO UNIAO";-;-;-;-;20;13;1;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;37
"421370 POUSO REDONDO";-;-;-;1;8;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;12
"421380 PRAIA GRANDE";-;-;-;1;7;1;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;12
"421390 PRESIDENTE CASTELLO BRANCO";-;-;-;-;3;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"421400 PRESIDENTE GETULIO";-;-;-;-;7;2;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;11
"421410 PRESIDENTE NEREU";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;2
"421415 PRINCESA";-;-;-;-;1;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;4
"421420 QUILOMBO";-;-;-;1;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"421430 RANCHO QUEIMADO";-;-;-;1;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"421440 RIO DAS ANTAS";-;-;-;-;3;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"421450 RIO DO CAMPO";-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;4
"421460 RIO DO OESTE";-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"421470 RIO DOS CEDROS";-;-;-;1;6;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8
"421480 RIO DO SUL";-;-;-;-;24;8;2;-;-;-;-;-;-;-;1;2;-;-;-;-;3;-;-;5;-;-;-;-;45
"421490 RIO FORTUNA";-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"421500 RIO NEGRINHO";-;-;-;-;16;2;1;-;-;-;-;1;-;-;2;-;-;1;-;2;2;-;-;1;-;-;-;-;28
"421505 RIO RUFINO";-;-;-;-;2;-;1;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;5
"421507 RIQUEZA";-;-;-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"421510 RODEIO";-;-;-;-;6;-;-;-;-;-;-;-;1;-;2;-;-;-;-;-;-;-;-;1;-;-;-;-;10
"421520 ROMELANDIA";-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"421530 SALETE";-;-;-;-;1;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;4
"421535 SALTINHO";-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"421540 SALTO VELOSO";-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;3
"421545 SANGAO";-;-;-;-;3;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"421550 SANTA CECILIA";-;-;-;-;7;1;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;11
"421555 SANTA HELENA";-;-;-;-;2;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;5
"421560 SANTA ROSA DE LIMA";-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;3
"421565 SANTA ROSA DO SUL";-;-;-;-;6;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7
"421567 SANTA TEREZINHA";-;-;-;-;2;1;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;5
"421568 SANTA TEREZINHA DO PROGRESSO";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"421569 SANTIAGO DO SUL";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;2
"421570 SANTO AMARO DA IMPERATRIZ";-;-;-;-;13;1;1;-;-;-;-;-;3;-;-;-;1;-;-;-;1;-;-;1;-;-;-;-;21
"421575 SAO BERNARDINO";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"421580 SAO BENTO DO SUL";-;-;-;1;50;12;1;2;-;-;-;1;-;-;-;-;3;-;-;-;6;-;-;6;-;-;-;-;82
"421590 SAO BONIFACIO";-;-;-;-;3;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"421600 SAO CARLOS";-;-;-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"421605 SAO CRISTOVAO DO SUL";-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;4
"421610 SAO DOMINGOS";-;-;-;-;6;2;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;10
"421620 SAO FRANCISCO DO SUL";-;-;-;-;28;3;-;-;-;-;-;-;-;-;-;5;-;-;-;-;1;-;-;2;1;-;-;-;40
"421625 SAO JOAO DO OESTE";-;-;-;-;4;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;6
"421630 SAO JOAO BATISTA";-;-;-;3;14;5;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;25
"421635 SAO JOAO DO ITAPERIU";-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;5
"421640 SAO JOAO DO SUL";-;-;-;1;4;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7
"421650 SAO JOAQUIM";-;-;-;-;16;2;-;-;-;-;-;-;-;-;1;1;-;-;-;-;1;-;-;-;-;-;-;-;21
"421660 SAO JOSE";-;-;-;15;105;9;3;2;-;-;-;4;2;-;7;3;5;3;-;-;3;-;-;7;-;-;-;-;168
"421670 SAO JOSE DO CEDRO";-;-;-;-;5;3;1;-;-;-;-;2;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;12
"421680 SAO JOSE DO CERRITO";-;-;-;-;5;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;9
"421690 SAO LOURENCO DO OESTE";-;-;-;-;13;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;15
"421700 SAO LUDGERO";-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;4
"421710 SAO MARTINHO";-;-;-;-;2;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;4
"421715 SAO MIGUEL DA BOA VISTA";-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"421720 SAO MIGUEL DO OESTE";-;-;-;3;25;10;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;3;-;-;-;-;43
"421725 SAO PEDRO DE ALCANTARA";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;3
"421730 SAUDADES";-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"421740 SCHROEDER";-;-;-;-;6;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;12
"421750 SEARA";-;1;-;-;9;2;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;14
"421755 SERRA ALTA";-;-;-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"421760 SIDEROPOLIS";-;-;-;-;8;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;10
"421770 SOMBRIO";-;-;-;-;10;6;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;4;1;-;-;-;23
"421775 SUL BRASIL";-;-;-;-;2;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"421780 TAIO";-;-;-;-;11;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;18
"421790 TANGARA";-;-;-;-;4;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;7
"421795 TIGRINHOS";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"421800 TIJUCAS";-;-;-;2;14;1;1;-;-;-;-;-;1;-;1;1;1;-;-;-;-;-;-;1;-;-;-;-;23
"421810 TIMBE DO SUL";-;-;-;1;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"421820 TIMBO";1;-;-;1;24;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;28
"421825 TIMBO GRANDE";-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"421830 TRES BARRAS";-;1;-;-;10;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;13
"421835 TREVISO";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"421840 TREZE DE MAIO";-;-;-;-;7;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7
"421850 TREZE TILIAS";-;-;-;-;2;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;4
"421860 TROMBUDO CENTRAL";-;-;-;-;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;4
"421870 TUBARAO";-;-;-;-;73;6;3;1;-;-;-;-;-;-;2;6;3;-;-;-;2;-;-;9;-;-;-;-;105
"421875 TUNAPOLIS";-;-;-;-;3;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;5
"421880 TURVO";-;-;-;-;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;5
"421885 UNIAO DO OESTE";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;3
"421890 URUBICI";-;1;-;-;4;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;6
"421895 URUPEMA";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"421900 URUSSANGA";-;-;-;-;12;3;1;1;-;-;-;1;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;20
"421910 VARGEAO";-;-;-;-;1;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"421915 VARGEM";-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"421917 VARGEM BONITA";-;-;-;-;3;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"421920 VIDAL RAMOS";-;-;-;-;1;2;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;5
"421930 VIDEIRA";-;-;-;-;22;6;-;-;-;-;-;-;1;-;1;-;-;1;-;-;3;-;-;3;-;-;-;-;37
"421935 VITOR MEIRELES";-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"421940 WITMARSUM";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"421950 XANXERE";-;-;-;-;39;6;2;1;-;-;-;-;-;-;1;4;-;-;-;-;3;-;-;6;-;-;-;-;62
"421960 XAVANTINA";-;-;-;-;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"421970 XAXIM";-;-;-;1;12;1;1;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;17
"421985 ZORTEA";-;-;-;-;1;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;4
"422000 BALNEARIO RINCAO";-;-;-;-;9;2;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;12
"430003 ACEGUA";-;-;-;-;3;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"430005 AGUA SANTA";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"430010 AGUDO";-;-;-;-;10;4;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;17
"430020 AJURICABA";-;-;-;-;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"430030 ALECRIM";-;-;-;-;13;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;15
"430040 ALEGRETE";-;-;-;-;62;13;-;1;-;-;-;-;-;-;-;2;1;-;-;-;6;-;-;1;-;-;-;-;86
"430045 ALEGRIA";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"430047 ALMIRANTE TAMANDARE DO SUL";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;3
"430050 ALPESTRE";-;-;-;-;7;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;10
"430055 ALTO ALEGRE";-;-;-;1;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"430057 ALTO FELIZ";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"430060 ALVORADA";-;2;-;2;116;25;2;2;-;-;-;4;5;-;2;6;-;1;-;-;3;-;-;4;2;-;-;2;178
