"Codigo_Municipio";"Municipio";"Coleta_Material";"Diagnostico_Endoscopia";"Metodos_Diagnosticos_Especialidades";"Consultas_Atendimentos_Acompanhamentos";"Tratamentos_Clinicos_Outras_Especialidades";"Tratamento_Oncologia";"Tratamento_Nefrologia";"Tratamento_Lesoes_Envenenamentos_Outros_Causas_Externas";"Parto_Nascimento";"Pequenas_Cirurgias_Pele_Tecido_Subcutaneo_Mucosa";"Cirurgia_Glandulas_Endocrinas";"Cirurgia_Sistema_Nervoso_Central_Periferico";"Cirurgia_Vias_Aereas_Superiores_Face_Cabeca_Pescoco";"Cirurgia_Aparelho_Visao";"Cirurgia_Aparelho_Circulatorio";"Cirurgia_Aparelho_Digestivo_Orgaos_Anexos_Parede_Abdominal";"Cirurgia_Sistema_Osteomuscular";"Cirurgia_Aparelho_Geniturinario";"Cirugia_Mama";"Cirurgia_Obstetrica";"Cirurgia_Toracica";"Cirurgia_Reparadora";"Bucomaxilofacial";"Outras_Cirurgias";"Cirurgia_Oncologia";"Coleta_Exames_Doacao_Orgaos_Tecidos_Celulas_Transplante";"Acoes_Relacionadas_Doacao_Orgaos_Tecidos_Transplantes";"Processamento_Tecidos_Transplante";"Transplante_Orgaos_Tecidos_Celulas";"Acompanhamento_Intercorrencias_Pre_Pos_Transplante";"Total"
"420425";"COCAL DO SUL";0;0;0;0,7;8,1;4,0;5,9;3,3;2,7;0;0;1,2;0;14,5;4,3;1,6;2,3;1,0;0;3,8;3,0;0;0;2,1;0,7;0;1,0;0;0;4,0;4,0
"420430";"CONCORDIA";0;0;0;1,5;6,9;2,5;3,0;4,9;1,2;0,4;0;6,0;0,5;1,0;3,4;1,5;2,0;0,9;0;2,1;3,3;0;0;2,0;1,9;0;0;0;5,7;2,3;4,1
"420435";"CORDILHEIRA ALTA";0;0;0;0;3,5;2,1;0;1,7;2,0;0;0;0;3,0;0;1,0;1,0;1,7;1,5;4,0;2,0;13,0;0;0;1,8;0,5;0;0;0;0;0;2,3
"420440";"CORONEL FREITAS";0;0;0;1,3;5,5;2,3;4,9;3,1;2,0;0;0;2,3;0;0;5,1;3,3;3,0;2,0;0;1,5;3,0;0;0;6,6;0,7;0;0;0;0;0;4,5
"420445";"CORONEL MARTINS";0;0;0;0;2,7;0;2,0;2,0;1,0;0;0;0;0,2;0;0;1,5;0,8;0;0;1,7;0;0;0;1,0;4,0;0;0;0;0;0;1,7
"420450";"CORUPA";0;7,0;0;0,3;7,8;5,0;5,0;2,0;2,2;1,0;0;0;1,0;0;1,0;3,5;3,7;1,2;1,0;2,0;5,2;0;0;3,2;0;0;0;0;0;13,0;4,0
"420455";"CORREIA PINTO";0;0;0;5,5;7,7;6,6;6,6;2,3;1,6;0;0;18,0;0;0,5;6,3;5,7;3,3;4,8;0;2,2;5,5;0;0;7,2;6,2;0;0;0;0;0;6,1
"420460";"CRICIUMA";3,7;0;1,0;0,7;6,7;4,2;3,8;5,6;1,9;1,7;5,0;1,4;3,3;0,8;5,8;2,7;2,5;1,4;1,8;2,4;6,4;5,0;0,2;5,1;3,0;0;0;0;11,6;9,2;4,3
"420470";"CUNHA PORA";0;1,0;0;0;5,5;2,2;2,5;1,5;0;0;0;1,0;0;0;8,5;2,8;2,9;1,5;0;2,1;4,2;0;0;4,9;0,5;0;0;0;0;0;3,9
"420475";"CUNHATAI";1,0;15,0;0;0;11,8;6,5;6,0;0;2,0;0;0;0;1,0;0;5,0;4,0;9,7;1,5;0;2,7;12,0;0;0;1,3;1,0;0;0;0;0;0;7,3
"420480";"CURITIBANOS";0;38,0;0;0,7;6,7;4,5;3,3;3,8;2,3;0;0;1,0;2,0;0;3,2;4,9;2,1;2,7;0;2,3;4,3;1,0;0;4,6;4,7;0;0;0;0;0;4,8
"420490";"DESCANSO";0;1,0;0;1,5;4,8;2,8;4,3;0;1,4;0;0;1,0;1,5;0;3,3;0,9;2,5;0,8;0;1,0;0;0;0;2,4;0;0;0;0;0;0;3,5
"420500";"DIONISIO CERQUEIRA";0;0;0;0;4,7;2,2;3,4;2,5;1,8;0;0;12,0;0;0;1,3;1,3;2,0;2,1;0;2,5;3,0;0;0;2,3;0,5;0;0;0;0;0;3,2
"420510";"DONA EMMA";0;8,0;0;0;7,0;0;12,0;11,0;1,5;0;0;0;0;0;20,0;4,6;2,5;0,3;0;1,3;0;0;0;6,5;0,3;0;0;0;0;0;5,3
"420515";"DOUTOR PEDRINHO";0;0;0;0;7,8;1,0;19,0;2,0;1,5;0;0;0;0;0;1,0;1,7;2,0;1,0;0;2,3;9,0;0;0;5,6;0;0;0;0;0;0;5,0
"420517";"ENTRE RIOS";0;0;0;1,0;10,5;2,0;5,0;2,0;1,5;0;0;0;0;0;4,7;1,3;1,7;0;0;2,3;0;0;0;2,4;1,0;0;0;0;0;0;5,2
